nm, %R
333.000000, 35.992354
332.000000, 34.110155
331.000000, 32.259663
330.000000, 30.460232
329.000000, 28.729941
328.000000, 27.106723
327.000000, 25.636444
326.000000, 24.334249
325.000000, 23.203701
324.000000, 22.233485
323.000000, 21.451589
322.000000, 20.869521
321.000000, 20.462574
320.000000, 20.221166
319.000000, 20.220136
318.000000, 20.348680
317.000000, 20.483415
316.000000, 20.722563
315.000000, 21.059859
314.000000, 21.466143
313.000000, 21.918353
312.000000, 22.409388
311.000000, 22.923885
310.000000, 23.448863
309.000000, 23.975458
308.000000, 24.507709
307.000000, 25.026363
306.000000, 25.518557
305.000000, 25.990678
304.000000, 26.433713
303.000000, 26.849213
302.000000, 27.239719
301.000000, 27.598675
300.000000, 27.928688
299.000000, 28.237909
298.000000, 28.522721
297.000000, 28.776924
296.000000, 29.000252
295.000000, 29.201619
294.000000, 29.383744
293.000000, 29.537959
292.000000, 29.678597
291.000000, 29.801283
290.000000, 29.900879
289.000000, 29.985113
288.000000, 30.054895
287.000000, 30.116088
286.000000, 30.172033
285.000000, 30.207787
284.000000, 30.227531
283.000000, 30.244489
282.000000, 30.252923
281.000000, 30.256919
280.000000, 30.255814
279.000000, 30.248145
278.000000, 30.234531
277.000000, 30.214345
276.000000, 30.183021
275.000000, 30.149633
274.000000, 30.112398
273.000000, 30.065489
272.000000, 30.017939
271.000000, 29.967515
270.000000, 29.915703
269.000000, 29.856360
268.000000, 29.794684
267.000000, 29.723812
266.000000, 29.655990
265.000000, 29.588746
264.000000, 29.508869
263.000000, 29.429415
262.000000, 29.351752
261.000000, 29.264901
260.000000, 29.178472
259.000000, 29.084162
258.000000, 28.985427
257.000000, 28.890313
256.000000, 28.792744
255.000000, 28.688165
254.000000, 28.581658
253.000000, 28.473573
252.000000, 28.363297
251.000000, 28.256809
250.000000, 28.142127
249.000000, 28.021916
248.000000, 27.908201
247.000000, 27.791650
246.000000, 27.668623
245.000000, 27.547677
244.000000, 27.420561
243.000000, 27.293897
242.000000, 27.167430
241.000000, 27.039166
240.000000, 26.908223
